Aufgabe,Name,Input,Output,,,,
1,Crawler,"d01.html, d06.html, d08.html",link_structure.txt,,,,
2,Page Rank,"link_structure.txt
dämpfungsfaktor (0.95)
teleportationsrate (0.05)
delta wert (0.04)",page_ranks.txt,,,,
3,Indexbasierte Suche,"stop_words.txt
cosine_scores.txt","index.txt (?)
doc_lenghtes (?)",,,,
4,Kombination von Indexbasierte Suche und PageRank,"page_ranks.txt
index.txt (?)
doc_lenghtes (?)","index.txt (?)
doc_lenghtes (?)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
